Change in head direction,Time Frame
7,15:21:09
7,15:21:09
7,15:21:09
7,15:21:09
7,15:21:09
7,15:21:09
7,15:21:09
7,15:21:09
7,15:21:10
7,15:21:10
7,15:21:10
7,15:21:10
7,15:21:10
7,15:21:10
7,15:21:10
7,15:21:10
7,15:21:10
7,15:21:10
7,15:21:10
7,15:21:10
7,15:21:10
7,15:21:10
7,15:21:10
7,15:21:10
7,15:21:10
7,15:21:10
7,15:21:10
7,15:21:10
7,15:21:10
8,15:21:10
8,15:21:10
8,15:21:10
8,15:21:10
8,15:21:10
8,15:21:10
8,15:21:10
8,15:21:10
8,15:21:10
8,15:21:10
8,15:21:11
8,15:21:11
8,15:21:11
8,15:21:11
8,15:21:11
8,15:21:11
8,15:21:11
8,15:21:11
8,15:21:11
8,15:21:11
8,15:21:11
8,15:21:11
8,15:21:11
8,15:21:11
8,15:21:11
8,15:21:11
8,15:21:11
9,15:21:11
9,15:21:11
9,15:21:11
9,15:21:11
9,15:21:11
9,15:21:11
9,15:21:11
9,15:21:11
9,15:21:11
9,15:21:11
9,15:21:11
9,15:21:11
9,15:21:11
9,15:21:12
9,15:21:12
9,15:21:12
9,15:21:12
9,15:21:12
9,15:21:12
9,15:21:12
9,15:21:12
9,15:21:12
9,15:21:12
9,15:21:12
9,15:21:12
9,15:21:12
9,15:21:12
9,15:21:12
10,15:21:12
10,15:21:12
10,15:21:12
10,15:21:12
10,15:21:12
10,15:21:12
10,15:21:12
10,15:21:12
10,15:21:12
10,15:21:12
10,15:21:12
10,15:21:12
10,15:21:12
10,15:21:12
10,15:21:12
10,15:21:13
10,15:21:13
10,15:21:13
10,15:21:13
10,15:21:13
10,15:21:13
10,15:21:13
10,15:21:13
10,15:21:13
10,15:21:13
10,15:21:13
10,15:21:13
10,15:21:13
11,15:21:13
11,15:21:13
11,15:21:13
11,15:21:13
11,15:21:13
11,15:21:13
11,15:21:13
11,15:21:13
11,15:21:13
11,15:21:13
11,15:21:13
11,15:21:13
11,15:21:13
11,15:21:13
11,15:21:13
11,15:21:13
11,15:21:13
11,15:21:14
11,15:21:14
11,15:21:14
11,15:21:14
11,15:21:14
11,15:21:14
11,15:21:14
11,15:21:14
11,15:21:14
11,15:21:14
11,15:21:14
11,15:21:14
11,15:21:14
11,15:21:14
11,15:21:14
11,15:21:14
11,15:21:14
11,15:21:14
11,15:21:14
11,15:21:14
11,15:21:14
11,15:21:14
11,15:21:14
11,15:21:14
11,15:21:14
11,15:21:14
11,15:21:14
11,15:21:14
11,15:21:14
11,15:21:14
11,15:21:15
11,15:21:15
11,15:21:15
11,15:21:15
11,15:21:15
11,15:21:15
11,15:21:15
11,15:21:15
11,15:21:15
11,15:21:15
11,15:21:15
11,15:21:15
11,15:21:15
11,15:21:15
11,15:21:15
11,15:21:15
11,15:21:15
11,15:21:15
11,15:21:15
11,15:21:15
11,15:21:15
11,15:21:15
11,15:21:15
11,15:21:15
11,15:21:15
11,15:21:15
11,15:21:15
11,15:21:15
11,15:21:15
11,15:21:15
11,15:21:16
11,15:21:16
11,15:21:16
11,15:21:16
11,15:21:16
11,15:21:16
11,15:21:16
11,15:21:16
